Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000155622,0,0.456885545,0,0.236344086,0,0,1.176520559,0,0,0,4.01E-39
ENSG00000149328,0,0.373670688,0,0,0,6.539866838,145.3154452,0,0.301564723,0,4.98E-31
ENSG00000236601,0,0,0,0,0,0,1458.490992,0,0,0,0
ENSG00000170989,0,63.94455066,0,0,0,154.4253645,0,204.7188046,3.508643164,0,0.029508846
ENSG00000108381,0,22.88033379,0,0,0,0,0,0,0,0,0
ENSG00000250637,0,18.48465964,0,0,0,0,0,0,0,0,0
ENSG00000182118,0,0,0,0,130.1337429,0,0,0,0,0,0
ENSG00000162739,0,12.37460244,0,0.109535808,0,5.374941833,9.310433458,0,2.544735404,0,91.80225234
ENSG00000251334,0,9.97131758,0,79.25014189,0,0,0.295120226,0,0,0,3.10E-44
ENSG00000239930,0,28.13937456,0,19.28354623,0.67101476,177.8050332,1432.600879,0,1.408623486,0.681639491,8.35E-12
ENSG00000139168,0,21.6562902,0,8.894830939,0,118.9217915,3.209187311,193.1376336,0.029055783,0,180.5350815
ENSG00000255345,0,8.878313265,0,0,0,0,0,0,0,119.3665744,0
ENSG00000212864,0.666565553,167.1703848,0,28.95426696,2.177517207,180.3948002,1439.433146,31.04281145,0,2.284997289,0.080842192
ENSG00000248575,0,8.208278178,0,0.196353355,6.191863702,1.857943399,7.047385973,0,0.088449117,0,1.64E-37
ENSG00000215937,0,83.81082655,0,0.115187896,0,4.699438602,45.48422805,2.560692978,0.074299291,7.19635309,1.76E-05
ENSG00000238895,0,3.72728583,0,0,0,0,0,0,0,0,0
ENSG00000254508,0,81.63164766,0,11.43149132,0,0,202.1646168,0,345.0416631,0,177.560018
ENSG00000234732,0,2.175803446,0,75.52426754,0,1.459895624,0,0,0,0,0
ENSG00000198939,0,9.753002042,0,131.2440585,0,0,0,0,0,0,0
ENSG00000124164,0,56.20959481,701.0473771,18.09291987,0,0,191.5780156,0,0,0,103.7393302
ENSG00000228392,0,0.466951966,0,0,0,0,0,0,0,0,0
ENSG00000223449,0,0,0,0,0,0,0.70704521,0,0,0,0
ENSG00000254879,0,6.258621164,0,2.224200163,0,368.9801889,80.21429727,47.75404576,17.26787318,87.13480174,1.14E-05
ENSG00000255615,0,16.21212613,0,0,0,2.972531648,0,0,0,7.061840869,0
ENSG00000229335,0,0,0,0,44.66285807,666.2519616,33.69651625,0,0,0,0
ENSG00000136834,0,8.078543348,0,0,0,0,9.275208244,0,0,0,0
ENSG00000237614,0,4.260584901,0,0,0,0,0,0,1.423425809,0,0
ENSG00000187003,0,6.171338947,0,0,0,1.742026327,0,0,0,0,0
ENSG00000233010,2.252989176,20.94371162,0.394379086,2.614561689,0.39754428,0,1044.160835,0,0,0.785051209,3.16E-07
ENSG00000166974,0,0.257532187,0,0,0,0,0,0,39.13310823,222.9254958,0
ENSG00000140650,0,55.87807264,0,1.997727931,0,470.4815973,267.989741,5.427733175,0.369266226,0,342.9120968
ENSG00000225942,0,0.857822955,0,0,0,0,0,0,0,0,0
ENSG00000130856,0,69.13423341,0,16.08637585,0,85.47889242,102.5540658,98.87446223,6.811410862,0,10.51719812
ENSG00000228252,0,0,0,0,0,0,4.071851263,0,0,0,0
ENSG00000199921,0,1.717746319,0,0,0,0,0,0,0,0,0
ENSG00000162704,0,100.2855857,0,18.91095293,0,352.8743357,372.654017,1009.781082,6.876143692,584.4700064,3.26E-33
ENSG00000175305,0,70.03994773,0,18.15726437,0,255.038999,390.1258124,0,0,0,60.66022068
ENSG00000196810,0,52.53064968,0,27.16665198,0,295.8222646,754.6178123,237.3744218,0,0,268.7103713
ENSG00000204764,0,0.245032565,0,0,0,0,0,0,0,0,0
